director_id,first_name,last_name,comment
1,Catherine,Breillat,the best
2,Věra,Chytilová,this czech chick be showing us we need to be sensitive to url encoding and stuff
3,Rose,McGowan,
4,Mary,Harron,
5,Greta,Gerswig,
6,Dee,Reese,
7,Ava,Duvernay,
8,Kathryn,Bigelow,
9,Barbara,Streisand,
10,Debra,Granik,
11,Lisa,Cholodenko,
12,Lone,Scherfig,
13,Sofia,Coppola,
14,Lucrecia,Martel,
15,Agnes,Jaoui,
16,Claire,Denis,
17,Susanne,Bier,
18,Nicole,Holofcener,
19,Jane,Campion,
20,Anne,Fontaine,
21,Agnieszka,Holland,
22,Gillian,Armstrong,
23,Deepa,Mehta,
24,Gurinder,Chadha,
25,Rebecca,Miller,
